,count,mean,std,min,25%,50%,75%,max
id_registo,200.0,100.5,57.879184513951124,1.0,50.75,100.5,150.25,200.0
indicador_si,200.0,81.58325,12.373367124899255,60.43,71.39250000000001,82.39,92.5575,99.99
taxa_resolucao,200.0,82.90985,7.7699499411476065,70.41,75.84,82.275,88.7925,97.72
tempo_resposta,200.0,58.73,33.991088101909284,1.0,29.75,54.5,88.25,118.0
satisfacao_cidadao,200.0,3.9855,0.5910894039120355,3.0,3.5,4.0,4.5,5.0
volume_interacoes,200.0,251.59,142.12678146658445,12.0,131.25,251.0,366.5,499.0
taxa_abandono,200.0,12.5555,6.5683697487107775,0.23,7.8975,13.325,16.595,24.83
erros_tecnicos,200.0,7.035,4.1762399236032275,0.0,3.0,7.0,11.0,14.0
indicador_kpi,200.0,75.16680000000001,14.210823455253461,50.11,63.075,75.475,87.61,99.99
kpi_class,200.0,0.625,0.48533778321813714,0.0,0.0,1.0,1.0,1.0
