,dtype,missing,missing_pct,unique
area_tematica,object,0,0.0,9
canal_utilizado,object,0,0.0,6
data_registo,datetime64[ns],0,0.0,152
erros_tecnicos,int64,0,0.0,15
feedback_cidadao,object,0,0.0,10
id_registo,int64,0,0.0,200
indicador_kpi,float64,0,0.0,197
indicador_si,float64,0,0.0,194
kpi_class,int64,0,0.0,2
satisfacao_cidadao,float64,0,0.0,21
segmentacao_utilizador,object,0,0.0,6
taxa_abandono,float64,0,0.0,194
taxa_resolucao,float64,0,0.0,195
tempo_resposta,int64,0,0.0,99
tipo_servico,object,0,0.0,7
transparencia,object,0,0.0,2
unidade_organizacional,object,0,0.0,8
volume_interacoes,int64,0,0.0,162
