id_registo,unidade_organizacional,tipo_servico,indicador_si,taxa_resolucao,tempo_resposta,satisfacao_cidadao,volume_interacoes,canal_utilizado,taxa_abandono,erros_tecnicos,transparencia,feedback_cidadao,segmentacao_utilizador,area_tematica
97,Serviços De Educação,Email,79.71,73.57,90,3.2,407,Presencial,3.64,12,Sim,Muito Satisfeito,Funcionário Público,Inovação
50,Departamento De Inovação E Digitalização,Chatbot,96.22,84.1,104,3.8,157,Telefone,12.62,13,Sim,Sistema Lento,Utilizador Vulnerável,Habitação
124,Serviços De Educação,Telefone,78.18,74.78,25,3.9,47,Portal,17.21,3,Não,Sistema Lento,Cidadão,Social
52,Serviços De Educação,Atendimento Presencial,72.77,71.1,6,3.9,72,Telefone,12.85,12,Sim,Processo Complicado,Reforma/Pensionista,Cultura
104,Departamento De Saúde Pública,Balcão Único,89.84,86.96,63,3.6,132,Presencial,15.14,8,Sim,Resposta Rápida E Eficaz,Estudante,Educação
76,Departamento De Inovação E Digitalização,Portal Online,63.36,73.0,5,4.2,387,Aplicacao_Movel,2.43,6,Sim,Sistema Lento,Cidadão,Social
49,Gabinete De Atendimento Ao Cidadão,Portal Online,60.43,80.2,74,4.2,81,Presencial,19.19,3,Sim,Sistema Lento,Cidadão,Saúde
83,Serviços De Ti,Balcão Único,99.47,79.02,9,3.3,347,Presencial,7.8,7,Sim,Excelente Atendimento,Empresa,Educação
138,Direcção De Serviços Financeiros,Balcão Único,83.35,78.08,51,4.1,470,Presencial,3.59,0,Não,Processo Complicado,Reforma/Pensionista,Ambiente
110,Serviços De Educação,Portal Online,68.94,75.22,21,3.4,235,Chatbot,21.61,9,Sim,Tempo De Espera Elevado,Empresa,Inovação
62,Departamento De Saúde Pública,Balcão Único,91.66,75.17,104,3.0,434,Email,8.98,0,Sim,Resposta Rápida E Eficaz,Reforma/Pensionista,Saúde
111,Departamento De Inovação E Digitalização,Email,98.53,77.98,47,3.1,341,Chatbot,13.95,8,Não,Tempo De Espera Elevado,Estudante,Ambiente
173,Serviços De Ti,Email,99.99,92.81,96,3.7,179,Email,2.73,10,Sim,Serviço Eficiente,Empresa,Inovação
6,Serviços De Educação,Telefone,97.66,79.82,101,4.9,186,Chatbot,23.38,12,Não,Muito Satisfeito,Reforma/Pensionista,Mobilidade
55,Gabinete De Atendimento Ao Cidadão,Portal Online,82.94,72.29,47,4.5,252,Aplicacao_Movel,9.89,2,Sim,Muito Satisfeito,Reforma/Pensionista,Social
190,Gabinete De Atendimento Ao Cidadão,Portal Online,80.81,95.38,19,4.6,372,Email,13.71,3,Sim,Falta De Informação,Funcionário Público,Digitalização
44,Departamento De Saúde Pública,Balcão Único,80.21,74.96,43,3.7,162,Telefone,24.02,1,Não,Precisa Melhorias,Utilizador Vulnerável,Digitalização
24,Direcção De Serviços Financeiros,Portal Online,85.16,83.79,88,3.5,386,Aplicacao_Movel,15.39,10,Sim,Tempo De Espera Elevado,Estudante,Educação
78,Direcção De Recursos Humanos,Balcão Único,62.91,84.91,72,4.1,70,Portal,14.82,7,Sim,Processo Complicado,Utilizador Vulnerável,Cultura
182,Departamento De Saúde Pública,Telefone,98.16,82.96,30,4.2,54,Aplicacao_Movel,9.39,9,Sim,Excelente Atendimento,Reforma/Pensionista,Digitalização
30,Departamento De Saúde Pública,Portal Online,90.02,73.59,5,3.8,70,Portal,1.09,14,Não,Muito Satisfeito,Utilizador Vulnerável,Digitalização
152,Serviços De Educação,Portal Online,84.54,91.29,22,4.9,49,Aplicacao_Movel,6.1,10,Não,Excelente Atendimento,Funcionário Público,Inovação
159,Direcção De Recursos Humanos,Email,92.42,97.02,81,4.8,156,Chatbot,15.02,13,Sim,Serviço Eficiente,Utilizador Vulnerável,Mobilidade
87,Gabinete De Atendimento Ao Cidadão,Balcão Único,97.89,94.93,78,4.2,12,Portal,14.71,5,Sim,Processo Complicado,Empresa,Social
168,Serviços De Ti,Email,76.59,73.91,61,4.2,278,Aplicacao_Movel,21.66,5,Não,Processo Complicado,Cidadão,Social
95,Direcção De Serviços Financeiros,Email,96.25,90.87,101,3.3,338,Chatbot,11.22,14,Sim,Precisa Melhorias,Empresa,Ambiente
187,Departamento De Planeamento Estratégico,Portal Online,74.33,95.19,30,4.7,435,Aplicacao_Movel,15.25,7,Sim,Falta De Informação,Funcionário Público,Cultura
170,Serviços De Ti,Portal Online,62.26,75.65,49,3.2,54,Presencial,18.81,6,Não,Processo Complicado,Utilizador Vulnerável,Ambiente
86,Departamento De Saúde Pública,Portal Online,92.51,73.35,29,4.2,225,Telefone,0.23,3,Sim,Falta De Informação,Estudante,Mobilidade
118,Gabinete De Atendimento Ao Cidadão,Email,62.95,73.14,117,4.5,404,Portal,16.0,10,Sim,Falta De Informação,Estudante,Cultura
134,Direcção De Serviços Financeiros,Atendimento Presencial,71.1,84.21,17,3.3,185,Presencial,8.57,6,Sim,Sistema Lento,Empresa,Social
183,Serviços De Educação,Email,84.25,78.44,29,3.5,323,Chatbot,7.42,6,Sim,Resposta Rápida E Eficaz,Utilizador Vulnerável,Habitação
180,Direcção De Recursos Humanos,Portal Online,78.02,82.3,62,4.3,142,Chatbot,7.93,9,Sim,Excelente Atendimento,Utilizador Vulnerável,Mobilidade
45,Serviços De Educação,Serviços Digitais,93.06,72.48,27,3.5,208,Presencial,10.4,13,Sim,Serviço Eficiente,Utilizador Vulnerável,Saúde
35,Departamento De Saúde Pública,Serviços Digitais,91.06,79.68,45,3.0,304,Email,13.56,3,Não,Muito Satisfeito,Empresa,Educação
58,Gabinete De Atendimento Ao Cidadão,Email,71.73,71.71,107,4.0,116,Email,19.82,3,Não,Bom Serviço,Funcionário Público,Educação
178,Departamento De Planeamento Estratégico,Serviços Digitais,93.99,80.99,56,4.6,197,Chatbot,22.53,2,Sim,Sistema Lento,Cidadão,Educação
43,Departamento De Inovação E Digitalização,Chatbot,96.1,77.8,26,4.6,235,Aplicacao_Movel,4.35,2,Não,Tempo De Espera Elevado,Reforma/Pensionista,Inovação
145,Direcção De Recursos Humanos,Serviços Digitais,92.55,73.76,117,3.5,358,Telefone,5.86,0,Sim,Bom Serviço,Reforma/Pensionista,Inovação
181,Gabinete De Atendimento Ao Cidadão,Balcão Único,65.17,80.55,32,4.8,244,Telefone,21.72,5,Não,Bom Serviço,Funcionário Público,Cultura
164,Serviços De Ti,Balcão Único,98.8,71.86,118,4.7,68,Chatbot,8.71,4,Sim,Precisa Melhorias,Utilizador Vulnerável,Ambiente
103,Departamento De Inovação E Digitalização,Email,85.97,97.62,1,4.4,332,Chatbot,9.48,11,Sim,Serviço Eficiente,Cidadão,Social
16,Serviços De Educação,Serviços Digitais,62.85,94.15,97,3.4,162,Email,12.02,14,Sim,Tempo De Espera Elevado,Funcionário Público,Ambiente
120,Direcção De Recursos Humanos,Serviços Digitais,98.77,97.15,41,3.2,235,Presencial,4.5,3,Sim,Tempo De Espera Elevado,Empresa,Digitalização
162,Departamento De Inovação E Digitalização,Atendimento Presencial,83.77,96.27,49,3.9,101,Portal,16.67,2,Sim,Sistema Lento,Reforma/Pensionista,Saúde
131,Departamento De Inovação E Digitalização,Atendimento Presencial,95.61,75.24,91,3.7,463,Aplicacao_Movel,14.5,3,Não,Serviço Eficiente,Reforma/Pensionista,Habitação
27,Serviços De Educação,Portal Online,92.14,76.72,15,4.4,149,Presencial,18.61,6,Sim,Bom Serviço,Estudante,Ambiente
38,Departamento De Planeamento Estratégico,Portal Online,94.34,88.69,95,3.1,311,Aplicacao_Movel,10.08,14,Sim,Excelente Atendimento,Cidadão,Inovação
